IPACX RIS - DAILY AUDIT LOG
Date: 2026-03-11
Total Rows: 751

TIME | USER | ROLE | EVENT | PAGE | IP | SESSION | DETAILS
--------------------------------------------------------------------------------------------------------------------------------
11/3/2026, 10:36:14 am | admin | ADMIN | LOGIN_SUCCESS | / | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"user_id":1}
11/3/2026, 10:36:14 am | admin | ADMIN | PAGE_VIEW | /dashboard | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/dashboard"}
11/3/2026, 10:36:14 am | admin | ADMIN | PAGE_VIEW | /dashboard | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/dashboard"}
11/3/2026, 10:36:20 am | admin | ADMIN | PAGE_VIEW | /patient-list | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/patient-list"}
11/3/2026, 10:36:20 am | admin | ADMIN | PAGE_VIEW | /patient-list | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/patient-list"}
11/3/2026, 10:36:20 am | admin | ADMIN | CLICK | /patient-list | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"A","label":"Patient List"}
11/3/2026, 10:36:20 am | admin | ADMIN | PAGE_VIEW | /scheduling | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/scheduling"}
11/3/2026, 10:36:20 am | admin | ADMIN | PAGE_VIEW | /scheduling | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/scheduling"}
11/3/2026, 10:36:20 am | admin | ADMIN | CLICK | /scheduling | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"A","label":"Scheduling"}
11/3/2026, 10:36:23 am | admin | ADMIN | CLICK | /mwls | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"A","label":"Modality WorkList"}
11/3/2026, 10:36:23 am | admin | ADMIN | PAGE_VIEW | /mwls | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/mwls"}
11/3/2026, 10:36:23 am | admin | ADMIN | PAGE_VIEW | /mwls | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/mwls"}
11/3/2026, 10:36:24 am | admin | ADMIN | PAGE_VIEW | /scheduling | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/scheduling"}
11/3/2026, 10:36:24 am | admin | ADMIN | PAGE_VIEW | /scheduling | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/scheduling"}
11/3/2026, 10:36:24 am | admin | ADMIN | CLICK | /scheduling | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"A","label":"Scheduling"}
11/3/2026, 10:36:25 am | admin | ADMIN | CLICK | /scheduling | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"BUTTON","label":"←"}
11/3/2026, 10:36:33 am | admin | ADMIN | CLICK | /scheduling | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"BUTTON","label":"←"}
11/3/2026, 10:36:33 am | admin | ADMIN | CLICK | /scheduling | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"BUTTON","label":"←"}
11/3/2026, 10:36:34 am | admin | ADMIN | CLICK | /scheduling | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"BUTTON","label":"→"}
11/3/2026, 10:36:36 am | admin | ADMIN | CLICK | /scheduling | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"BUTTON","label":"→"}
11/3/2026, 10:36:38 am | admin | ADMIN | CLICK | /scheduling | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"BUTTON","label":"→"}
11/3/2026, 10:36:38 am | admin | ADMIN | CLICK | /scheduling | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"BUTTON","label":"←"}
11/3/2026, 10:36:39 am | admin | ADMIN | CLICK | /scheduling | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"BUTTON","label":"←"}
11/3/2026, 10:36:40 am | admin | ADMIN | CLICK | /scheduling | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"BUTTON","label":"←"}
11/3/2026, 10:36:40 am | admin | ADMIN | CLICK | /scheduling | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"BUTTON","label":"←"}
11/3/2026, 10:36:40 am | admin | ADMIN | CLICK | /scheduling | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"BUTTON","label":"←"}
11/3/2026, 10:36:44 am | admin | ADMIN | PAGE_VIEW | /mwls | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/mwls"}
11/3/2026, 10:36:44 am | admin | ADMIN | CLICK | /mwls | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"A","label":"Modality WorkList"}
11/3/2026, 10:36:44 am | admin | ADMIN | PAGE_VIEW | /mwls | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/mwls"}
11/3/2026, 10:36:58 am | admin | ADMIN | PAGE_VIEW | /pacspage | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/pacspage"}
11/3/2026, 10:36:59 am | admin | ADMIN | PAGE_VIEW | /pacspage | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/pacspage"}
11/3/2026, 10:37:19 am | admin | ADMIN | PAGE_VIEW | /reporting | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/reporting"}
11/3/2026, 10:37:19 am | admin | ADMIN | PAGE_VIEW | /reporting | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/reporting"}
11/3/2026, 10:37:19 am | admin | ADMIN | CLICK | /reporting | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"A","label":"Reporting"}
11/3/2026, 10:37:20 am | admin | ADMIN | PAGE_VIEW | /reporting | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/reporting"}
11/3/2026, 10:37:20 am | admin | ADMIN | PAGE_VIEW | /reporting | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/reporting"}
11/3/2026, 10:37:25 am | admin | ADMIN | PAGE_VIEW | /admin/user-management | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/admin/user-management"}
11/3/2026, 10:37:25 am | admin | ADMIN | PAGE_VIEW | /admin/user-management | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/admin/user-management"}
11/3/2026, 10:37:25 am | admin | ADMIN | CLICK | /admin/user-management | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"A","label":"User Management"}
11/3/2026, 10:37:26 am | admin | ADMIN | PAGE_VIEW | /admin/templates | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/admin/templates"}
11/3/2026, 10:37:26 am | admin | ADMIN | PAGE_VIEW | /admin/templates | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/admin/templates"}
11/3/2026, 10:37:26 am | admin | ADMIN | CLICK | /admin/templates | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"A","label":"Template Management"}
11/3/2026, 10:37:30 am | admin | ADMIN | PAGE_VIEW | /admin/pacs-management | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/admin/pacs-management"}
11/3/2026, 10:37:30 am | admin | ADMIN | PAGE_VIEW | /admin/pacs-management | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/admin/pacs-management"}
11/3/2026, 10:37:30 am | admin | ADMIN | CLICK | /admin/pacs-management | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"A","label":"PACS Management"}
11/3/2026, 10:37:31 am | admin | ADMIN | PAGE_VIEW | /admin/mwls-management | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/admin/mwls-management"}
11/3/2026, 10:37:31 am | admin | ADMIN | PAGE_VIEW | /admin/mwls-management | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/admin/mwls-management"}
11/3/2026, 10:37:31 am | admin | ADMIN | CLICK | /admin/mwls-management | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"A","label":"MWLS Management"}
11/3/2026, 10:40:40 am | admin | ADMIN | PAGE_VIEW | /mwls | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/mwls"}
11/3/2026, 10:40:40 am | admin | ADMIN | PAGE_VIEW | /mwls | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/mwls"}
11/3/2026, 10:40:40 am | admin | ADMIN | CLICK | /mwls | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"A","label":"Modality WorkList"}
11/3/2026, 10:40:41 am | admin | ADMIN | PAGE_VIEW | /pacspage | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/pacspage"}
11/3/2026, 10:40:41 am | admin | ADMIN | PAGE_VIEW | /pacspage | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/pacspage"}
11/3/2026, 10:40:41 am | admin | ADMIN | CLICK | /pacspage | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"A","label":"PACS Page"}
11/3/2026, 10:40:43 am | admin | ADMIN | PAGE_VIEW | /admin/mwls-management | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/admin/mwls-management"}
11/3/2026, 10:40:43 am | admin | ADMIN | PAGE_VIEW | /admin/mwls-management | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/admin/mwls-management"}
11/3/2026, 10:40:43 am | admin | ADMIN | CLICK | /admin/mwls-management | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"A","label":"MWLS Management"}
11/3/2026, 10:40:45 am | admin | ADMIN | PAGE_VIEW | /mwls | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/mwls"}
11/3/2026, 10:40:45 am | admin | ADMIN | PAGE_VIEW | /mwls | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/mwls"}
11/3/2026, 10:40:45 am | admin | ADMIN | CLICK | /mwls | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"tag":"A","label":"Modality WorkList"}
11/3/2026, 11:23:06 am | admin | ADMIN | PAGE_VIEW | /mwls | 127.0.0.1 | 039d2da8-0098-4e77-bd7f-79c49c10e05f | {"pathname":"/mwls"}
